company,corp_code,stock_code,market,label,runnable,dart_ok,fraud_year_start,fraud_year_end,run_years,fraud_type,fs_detectable,accounts,confirmed,confidence,sources,notes
유네코,00127699,064510,코스닥,positive,True,True,2014,2019,2017;2018;2019,자산과대(매출채권 과대·대손충당금 과소),True,매출채권;대손충당금;차입금,증선위 검찰고발·과징금·감사인지정3년,high,https://www.intn.co.kr/news/articleView.html?idxno=2024852,"홀드아웃. 차입금 입금을 매출채권 회수로 가장→매출채권 과대·대손충당금 과소. 2016 DART 없음, 2017~2019 가용. 2022 상폐."
본느,01098792,226340,코스닥,positive,True,True,2022,2023,2021;2022;2023,자산과대(재고)+결산수정(비용이연),True,재고자산;충당부채,증선위 검찰고발·과징금 2.15억·감사인지정3년,high,https://www.sedaily.com/NewsView/2GNM4BT7CU,홀드아웃. 재고 과대 + 손해배상비용 이연. 화장품 OEM/ODM. 2015 상장.
이트론,00480756,096040,코스닥,positive,True,True,2019,2022,2019;2020;2021;2022,자산과대(연구비 무형자산 자본화+투자주식 오분류),True,무형자산;관계기업투자;당기순이익;자기자본,증선위 과징금 23.7억·검찰고발(2025),high,https://biz.heraldcorp.com/article/10445544,"2차검증. 이화그룹 계열. 무형자산·관계기업투자 과대. 2017~2018 OFS, 2019~2022 CFS. 2023 상폐."
웨이브일렉트로닉스,00526696,095270,코스닥,positive,True,True,2015,2019,2015;2016;2017;2018;2019,자산과대(연구비 무형자산 자본화),True,무형자산;관계기업투자;당기순이익;자기자본,증선위 과징금 13.5억·감사인지정(2024),high,https://www.fsc.go.kr/no020102/84433,2차검증. 방산 부품. 연구비 무형자산 자본화→자기자본 과대. 점진적 자본화형(셀트리온 개발비와 유사 난이도).
웰바이오텍,00141273,010600,,positive,True,True,2019,2022,2017;2018;2019;2020;2021;2022,가공매출,True,매출;매출원가;매출채권;재고자산,증선위 검찰고발·과징금(2025.10),high,,mega 신규 분식
에스엘,00125521,005850,,positive,True,True,2018,2018,2016;2017;2018,영업이익 과대(원가조정),True,영업이익;매출원가;재고자산,증선위 과징금 17.8억·검찰고발(2020),high,,mega 신규 분식
이렘,00116426,009730,,positive,True,True,2018,2020,2016;2017;2018;2019;2020,손상미인식(관계기업투자 과대),True,관계기업투자;당기순이익;대손충당금,증선위 과징금 9.5억·감사인지정(2024),high,,mega 신규 분식
더테크놀로지,00351454,043090,,positive,True,True,2021,2022,2019;2020;2021;2022,가공매출,True,매출;매출원가;매출채권,증선위 과징금·검찰통보(2026),high,,mega 신규 분식
한창,00163716,005110,,positive,True,True,2021,2022,2019;2020;2021;2022,총액인식 매출 과대,True,매출;매출원가,증선위 과징금·검찰고발(2026),high,,mega 신규 분식
KB금융,00688996,105560,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 경계(회계구조 상이)
신한지주,00382199,055550,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 경계(회계구조 상이)
삼성생명,00126256,032830,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 경계(회계구조 상이)
SK(지주),00181712,034730,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 경계(회계구조 상이)
삼성엔지니어링,00126308,028050,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 경계(회계구조 상이)
삼성중공업,00126478,010140,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 경계(회계구조 상이)
ESR켄달스퀘어리츠,01437186,365550,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 경계(회계구조 상이)
맥쿼리인프라,00435297,088980,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 경계(회계구조 상이)
코텍,00305297,052330,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
아시아퍼시픽12호선박투자회사,00533836,083590,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
YW,00296263,051390,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
KSS해운,00160232,044450,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
지나인제약,00477257,078650,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
와이랩,01406265,432430,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
조이토토,00268482,044370,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
리튬포어스,00440712,073570,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
대아건설,00110963,000380,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
인산가,00408336,062580,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한국미라클피플사,01363924,331660,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
휴비스,00362238,079980,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
캠브리지코오롱,00128759,004620,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한진,00163512,002320,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
동성제약,00116268,002210,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
아시아퍼시픽8호선박투자회사,00510534,081930,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
미래SCI,00111865,028040,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
JYP Ent.,00258689,035900,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
화승코퍼레이션,00166272,013520,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
소프트센,00204226,032680,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
바이오노트,00622787,377740,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
라임,00389387,065160,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
알파칩스,00605124,117670,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
생고뱅코리아홀딩스,00159005,002000,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한국테크놀로지,00355548,053590,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한컴라이프케어,00534598,372910,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
테라뷰,01957282,950250,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
아이스크림에듀,00983934,289010,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
이앤텍,00215107,047450,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
코리아퍼시픽06호선박투자회사,00592592,093410,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
HDC현대EP,00357935,089470,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
세운메디칼,00362201,100700,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
새론오토모티브,00305668,075180,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
문배철강,00121570,008420,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한국종합기술,00159500,023350,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
HB솔루션,00523936,297890,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
트래픽아이티에스,00263955,038050,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
아세아페이퍼텍,00149248,009380,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한미약품,00828497,128940,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
폴라리스우노,00663669,114630,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
창해에탄올,00123523,004650,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
디보스,00441298,080140,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한국씨티은행,00161444,016830,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
GS,00500254,078930,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
진도,00557933,088790,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
아이비케이에스제20호기업인수목적,01675421,439730,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
퓨쳐메디신,01185867,341170,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
마이크로투나노,00624378,424980,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
RF시스템즈,01286476,474610,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
광무,00186452,029480,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
지노믹트리,01108248,228760,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
SNT모티브,00398792,064960,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
케이에이치미래물산,00125965,111870,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
알로이스,01194892,271400,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
이니텍,00353610,053350,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
LS,00105952,006260,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
하이트진로홀딩스,00148993,000140,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
킵스파마,01037214,256940,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
엔하이테크,00334767,046720,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
닷밀,01605282,464580,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
유니트론텍,00879020,142210,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
DL,00109693,000210,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
남광토건,00107066,001260,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
다산솔루에타,00624518,154040,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한국투자신성장1호기업인수목적회사,00802028,123290,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
타스컴,01118139,336040,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
액트로,01141942,290740,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
코맥스,00268118,036690,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
앤에스,00638539,126870,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
미래에셋맵스리츠,01437292,357250,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
켐트로스,01089350,220260,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
GS피앤엘,01882845,499790,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
코닉오토메이션,01573284,391710,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
옵티코어,01506990,380540,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한국정보공학,00261957,039740,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
혜인,00165343,003010,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
오에스피,01491607,368970,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
프리엠스,00352064,053160,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
퀄리타스반도체,01584183,432720,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
엔에이치에스엘기업인수목적,01047567,207720,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
예스티,00530556,122640,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
플래닛팔이,00301626,057330,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
환인제약,00166573,016580,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
나노신소재,00439965,121600,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
신영해피투모로우제6호기업인수목적,01419986,344050,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
티에스넥스젠,00317487,043220,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
대원미디어,00351807,048910,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
대한조선,00182696,439260,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
토니모리,00816544,214420,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
펨토바이오메드,01336735,327610,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
아바텍,00442048,149950,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
신한제16호스팩,01875146,496070,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
우리기업인수목적1호,00803504,122750,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
삼보산업,00125822,009620,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
마키나락스,01709065,477850,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
성원건설,00133034,012090,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
케너텍,00372013,062730,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
대한방직,00112970,001070,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한프,00226228,066110,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
에스디시스템,00604815,121890,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
케이티프리텔,00244871,032390,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
라파스,01058101,214260,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
팜젠사이언스,00135050,004720,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
SK리츠,01535150,395400,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
아이앤씨,00365758,052860,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
서플러스글로벌,00599285,140070,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
영흥,00141477,012160,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
화신,00166315,010690,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
아미코젠,00545734,092040,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
엠에프엠코리아,01384477,323230,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
아스팩오일,00318538,232360,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
AP시스템,01203808,265520,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
마니커에프앤지,00770312,195500,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
대동기어,00109310,008830,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
줌인터넷,01095397,229480,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
졸스,00122205,018700,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
티이씨,00394574,067950,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
뷰웍스,00609324,100120,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
오가노이드사이언스,01626391,476040,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
성도이엔지,00216498,037350,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
교보메리츠퍼스트기업구조조정부동산투자회사,00386876,064900,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
위너스인프라인,00165200,005760,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한국경제TV,00263371,039340,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
금강제강,00579379,105070,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한신코퍼레이션,00253514,037120,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
에스엠,00260930,041510,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
대덕GDS,00109170,004130,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
비트플래닛,00351579,049470,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
웰크론,00362159,065950,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
보라티알,01124680,250000,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
전방,00147222,000950,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
에이스앤파트너스,00200798,032930,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
동북아30호선박투자회사,00557030,089200,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
테스텍,00331760,048510,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
우진비앤지,00103547,018620,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
에스티큐브,00273110,052020,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
팬택자산관리,00207542,025930,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
대모,00450995,317850,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한일시멘트,01319808,300720,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
테라사이언스,00373021,073640,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한국화장품제조,00160621,003350,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
SK증권,00131850,001510,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
키움히어로제2호스팩,01964246,0131D0,,clean,True,False,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
이구산업,00145464,025820,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
가온그룹,00441304,078890,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
하나금융20호기업인수목적,01583397,400560,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
온타이드,00168331,005320,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
나래나노텍,00362122,137080,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
한국큐빅,00160010,021650,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
KB스타리츠,01622720,432320,,clean,True,True,,,2020;2021;2022;2023,,False,,정상,high,,mega 랜덤/경계 정상
